"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_007.93","7",1,93,93,"neutral","20M_N.png","Context004.jpg",256.5118,"7&",1.6198
"SON2_007.94","7",1,94,94,"negative","36M_F.png","Context004.jpg",258.5899,"7&",0.9254
"SON2_007.95","7",1,95,95,"positive","34M_H.png","Context004.jpg",260.6677,"7&",0.9109
"SON2_007.96","7",1,96,96,"neutral","21M_N.png","Context004.jpg",262.7463,"7&",1.3125
"SON2_007.97","7",1,97,97,"positive","10F_H.png","Context004.jpg",264.8247,"7&",1.682
"SON2_007.98","7",1,98,98,"neutral","10F_N.png","Context004.jpg",266.9031,"1!",0.7636
"SON2_007.99","7",1,99,99,"positive","37M_H.png","Context004.jpg",268.9816,"1!",1.0052
"SON2_007.100","7",1,100,100,"neutral","13F_N.png","Context004.jpg",271.0435,"7&",1.5915
"SON2_007.101","7",1,101,101,"positive","29M_H.png","Context004.jpg",273.105,"7&",0.7217
"SON2_007.102","7",1,102,102,"positive","03F_H.png","Context004.jpg",275.1836,"7&",0.8665
"SON2_007.103","7",1,103,103,"positive","31M_H.png","Context004.jpg",277.262,"7&",1.6767
"SON2_007.104","7",1,104,104,"neutral","32M_N.png","Context004.jpg",279.3405,"1!",1.0062
"SON2_007.105","7",1,105,105,"positive","27M_H.png","Context004.jpg",281.4189,"7&",0.7519
"SON2_007.106","7",1,106,106,"neutral","39M_N.png","Context004.jpg",283.4806,"1!",1.29
"SON2_007.107","7",1,107,107,"neutral","15F_N.png","Context004.jpg",285.5591,"1!",1.2033
"SON2_007.108","7",1,108,108,"negative","24M_F.png","Context004.jpg",287.6376,"7&",0.7812
"SON2_007.109","7",1,109,109,"negative","28M_F.png","Context004.jpg",289.6996,"1!",0.8874
"SON2_007.110","7",1,110,110,"positive","06F_H.png","Context004.jpg",291.7778,"1!",1.4729
"SON2_007.111","7",1,111,111,"positive","13F_H.png","Context004.jpg",293.8399,"7&",0.9551
"SON2_007.112","7",1,112,112,"neutral","02F_N.png","Context004.jpg",295.9186,"1!",1.7327
"SON2_007.113","7",1,113,113,"positive","41M_H.png","Context004.jpg",297.9629,"1!",1.9116
"SON2_007.114","7",1,114,114,"negative","03F_F.png","Context004.jpg",300.0083,"1!",1.3222
"SON2_007.115","7",1,115,115,"positive","23M_H.png","Context004.jpg",302.0709,"7&",1.0367
"SON2_007.116","7",1,116,116,"negative","43M_F.png","Context004.jpg",304.1486,"7&",1.5261
"SON2_007.117","7",1,117,117,"neutral","18F_N.png","Context004.jpg",306.2271,"7&",1.6798
"SON2_007.118","7",1,118,118,"negative","06F_F.png","Context004.jpg",308.3055,"1!",0.8332
"SON2_007.119","7",1,119,119,"neutral","05F_N.png","Context004.jpg",310.3841,"1!",1.0748
"SON2_007.120","7",1,120,120,"neutral","25M_N.png","Context004.jpg",312.4623,"7&",0.8923
"SON2_007.121","7",1,121,121,"negative","32M_F.png","Context004.jpg",314.5409,"7&",1.3252
"SON2_007.122","7",1,122,122,"positive","19F_H.png","Context004.jpg",316.7688,"",NA
"SON2_007.123","7",1,123,123,"neutral","36M_N.png","Context004.jpg",318.8473,"7&",0.7996
"SON2_007.124","7",1,124,124,"negative","20M_F.png","Context004.jpg",320.9258,"7&",0.6491
"SON2_007.125","7",1,125,125,"negative","14F_F.png","Context004.jpg",323.0042,"1!",1.1466
"SON2_007.126","7",1,126,126,"negative","41M_F.png","Context004.jpg",325.0664,"",NA
"SON2_006.1","6",1,1,1,"negative","26M_F.png","Context001.jpg",8.5062,"",NA
"SON2_006.2","6",1,2,2,"neutral","24M_N.png","Context002.jpg",10.5847,"1!",0.6553
"SON2_006.3","6",1,3,3,"positive","07F_H.png","Context003.jpg",12.7629,"7&",1.0529
"SON2_006.4","6",1,4,4,"positive","11F_H.png","Context004.jpg",14.9244,"7&",0.8435
"SON2_006.5","6",1,5,5,"neutral","28M_N.png","Context001.jpg",17.0361,"1!",1.0756
"SON2_006.6","6",1,6,6,"negative","22M_F.png","Context002.jpg",19.1146,"1!",1.0772
"SON2_006.7","6",1,7,7,"neutral","11F_N.png","Context003.jpg",21.2096,"7&",0.8381
"SON2_006.8","6",1,8,8,"positive","16F_H.png","Context004.jpg",23.3546,"7&",0.8853
