"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_017.81","1",1,81,81,"negative","02F_F.png","Context004.jpg",199.0784,"7&",0.6614
"SON2_017.82","1",1,82,82,"positive","36M_H.png","Context004.jpg",201.1287,"7&",0.8583
"SON2_017.83","1",1,83,83,"neutral","19F_N.png","Context004.jpg",203.1792,"1!",1.2079
"SON2_017.84","1",1,84,84,"negative","11F_F.png","Context004.jpg",205.2127,"1!",0.7897
"SON2_017.85","1",1,85,85,"positive","35M_H.png","Context004.jpg",207.2631,"1!",1.0109
"SON2_017.86","1",1,86,86,"neutral","35M_N.png","Context004.jpg",209.3126,"7&",0.7267
"SON2_017.87","1",1,87,87,"neutral","12F_N.png","Context004.jpg",211.3635,"7&",0.8105
"SON2_017.88","1",1,88,88,"positive","39M_H.png","Context004.jpg",213.4126,"1!",1.0451
"SON2_017.89","1",1,89,89,"positive","40M_H.png","Context004.jpg",215.4638,"1!",1.2489
"SON2_017.90","1",1,90,90,"negative","23M_F.png","Context004.jpg",217.5136,"1!",0.9016
"SON2_017.91","1",1,91,91,"positive","21M_H.png","Context004.jpg",219.5634,"1!",1.1607
"SON2_017.92","1",1,92,92,"positive","24M_H.png","Context004.jpg",221.6141,"1!",0.7201
"SON2_017.93","1",1,93,93,"neutral","20M_N.png","Context004.jpg",223.6645,"7&",0.9717
"SON2_017.94","1",1,94,94,"negative","36M_F.png","Context004.jpg",225.7141,"7&",0.9036
"SON2_017.95","1",1,95,95,"positive","34M_H.png","Context004.jpg",227.764,"1!",0.7631
"SON2_017.96","1",1,96,96,"neutral","21M_N.png","Context004.jpg",229.8145,"1!",0.6279
"SON2_017.97","1",1,97,97,"positive","10F_H.png","Context004.jpg",231.8647,"1!",0.6688
"SON2_017.98","1",1,98,98,"neutral","10F_N.png","Context004.jpg",233.9145,"7&",0.6713
"SON2_017.99","1",1,99,99,"positive","37M_H.png","Context004.jpg",235.9652,"7&",1.0236
"SON2_017.100","1",1,100,100,"neutral","13F_N.png","Context004.jpg",238.0149,"7&",0.8457
"SON2_017.101","1",1,101,101,"positive","29M_H.png","Context004.jpg",240.0654,"7&",0.8621
"SON2_017.102","1",1,102,102,"positive","03F_H.png","Context004.jpg",242.1152,"1!",0.7053
"SON2_017.103","1",1,103,103,"positive","31M_H.png","Context004.jpg",244.1655,"1!",0.6292
"SON2_017.104","1",1,104,104,"neutral","32M_N.png","Context004.jpg",246.2154,"1!",1.1245
"SON2_017.105","1",1,105,105,"positive","27M_H.png","Context004.jpg",248.3158,"7&",1.6284
"SON2_017.106","1",1,106,106,"neutral","39M_N.png","Context004.jpg",250.3661,"7&",1.4961
"SON2_017.107","1",1,107,107,"neutral","15F_N.png","Context004.jpg",252.416,"1!",0.86
"SON2_017.108","1",1,108,108,"negative","24M_F.png","Context004.jpg",254.4662,"1!",0.6287
"SON2_017.109","1",1,109,109,"negative","28M_F.png","Context004.jpg",256.5168,"1!",0.6962
"SON2_017.110","1",1,110,110,"positive","06F_H.png","Context004.jpg",258.566,"1!",0.5739
"SON2_017.111","1",1,111,111,"positive","13F_H.png","Context004.jpg",260.6165,"7&",0.7227
"SON2_017.112","1",1,112,112,"neutral","02F_N.png","Context004.jpg",262.6666,"7&",0.9065
"SON2_017.113","1",1,113,113,"positive","41M_H.png","Context004.jpg",264.7163,"1!",1.0271
"SON2_017.114","1",1,114,114,"negative","41M_F.png","Context004.jpg",266.7499,"7&",0.6636
"SON2_017.115","1",1,115,115,"positive","23M_H.png","Context004.jpg",268.8003,"1!",0.7971
"SON2_017.116","1",1,116,116,"negative","43M_F.png","Context004.jpg",270.8503,"1!",0.642
"SON2_017.117","1",1,117,117,"neutral","18F_N.png","Context004.jpg",272.8832,"1!",0.9034
"SON2_017.118","1",1,118,118,"negative","06F_F.png","Context004.jpg",274.9341,"1!",0.9091
"SON2_017.119","1",1,119,119,"neutral","05F_N.png","Context004.jpg",276.967,"1!",1.1597
"SON2_017.120","1",1,120,120,"neutral","25M_N.png","Context004.jpg",279.0174,"1!",0.7762
"SON2_017.121","1",1,121,121,"negative","32M_F.png","Context004.jpg",281.0679,"1!",0.706
"SON2_017.122","1",1,122,122,"positive","19F_H.png","Context004.jpg",283.118,"1!",0.7915
"SON2_017.123","1",1,123,123,"neutral","36M_N.png","Context004.jpg",285.1686,"7&",0.9145
"SON2_017.124","1",1,124,124,"negative","20M_F.png","Context004.jpg",287.218,"7&",0.904
"SON2_017.125","1",1,125,125,"negative","14F_F.png","Context004.jpg",289.2685,"7&",0.9587
"SON2_017.126","1",1,126,126,"negative","03F_F.png","Context004.jpg",291.3186,"1!",1.1196
"SON2_015_effective_beforeDrug.1","876",1,1,1,"negative","26M_F.png","Context001.jpg",1.6456,"1!",1.8564
"SON2_015_effective_beforeDrug.2","876",1,2,2,"neutral","24M_N.png","Context002.jpg",3.6957,"7&",0.4263
"SON2_015_effective_beforeDrug.3","876",1,3,3,"positive","07F_H.png","Context003.jpg",5.7626,"1!",0.2673
"SON2_015_effective_beforeDrug.4","876",1,4,4,"positive","11F_H.png","Context004.jpg",7.8127,"7&",1.016
"SON2_015_effective_beforeDrug.5","876",1,5,5,"neutral","28M_N.png","Context001.jpg",9.8628,"1!",1.0697
"SON2_015_effective_beforeDrug.6","876",1,6,6,"negative","22M_F.png","Context002.jpg",11.913,"1!",0.7924
"SON2_015_effective_beforeDrug.7","876",1,7,7,"neutral","11F_N.png","Context003.jpg",13.9631,"7&",0.6762
"SON2_015_effective_beforeDrug.8","876",1,8,8,"positive","16F_H.png","Context004.jpg",15.9966,"1!",1.2355
"SON2_015_effective_beforeDrug.9","876",1,9,9,"neutral","33M_N.png","Context004.jpg",18.0467,"1!",0.7873
"SON2_015_effective_beforeDrug.10","876",1,10,10,"positive","09F_H.png","Context004.jpg",20.0969,"7&",1.179
"SON2_015_effective_beforeDrug.11","876",1,11,11,"negative","15F_F.png","Context004.jpg",22.147,"1!",1.2617
"SON2_015_effective_beforeDrug.12","876",1,12,12,"positive","05F_H.png","Context004.jpg",24.1804,"7&",0.9492
"SON2_015_effective_beforeDrug.13","876",1,13,13,"negative","38M_F.png","Context004.jpg",26.2139,"1!",0.8075
"SON2_015_effective_beforeDrug.14","876",1,14,14,"negative","30M_F.png","Context004.jpg",28.2641,"1!",0.7462
"SON2_015_effective_beforeDrug.15","876",1,15,15,"negative","17F_F.png","Context004.jpg",30.3142,"1!",1.407
"SON2_015_effective_beforeDrug.16","876",1,16,16,"positive","08F_H.png","Context004.jpg",32.3644,"1!",1.5506
"SON2_015_effective_beforeDrug.17","876",1,17,17,"negative","29M_F.png","Context004.jpg",34.4145,"1!",1.7523
"SON2_015_effective_beforeDrug.18","876",1,18,18,"neutral","08F_N.png","Context004.jpg",36.448,"1!",1.0078
"SON2_015_effective_beforeDrug.19","876",1,19,19,"negative","33M_F.png","Context004.jpg",38.4815,"1!",1.4461
"SON2_015_effective_beforeDrug.20","876",1,20,20,"negative","31M_F.png","Context004.jpg",40.5316,"1!",0.8818
"SON2_015_effective_beforeDrug.21","876",1,21,21,"negative","37M_F.png","Context004.jpg",42.5818,"1!",1.0776
"SON2_015_effective_beforeDrug.22","876",1,22,22,"neutral","22M_N.png","Context004.jpg",44.6319,"7&",1.1023
"SON2_015_effective_beforeDrug.23","876",1,23,23,"neutral","37M_N.png","Context004.jpg",46.682,"7&",0.989
"SON2_015_effective_beforeDrug.24","876",1,24,24,"positive","20M_H.png","Context004.jpg",48.7322,"7&",1.4727
"SON2_015_effective_beforeDrug.25","876",1,25,25,"neutral","31M_N.png","Context004.jpg",50.7823,"1!",0.9214
"SON2_015_effective_beforeDrug.26","876",1,26,26,"positive","01F_H.png","Context004.jpg",52.8324,"1!",0.8582
"SON2_015_effective_beforeDrug.27","876",1,27,27,"positive","22M_H.png","Context004.jpg",54.8659,"7&",1.0406
"SON2_015_effective_beforeDrug.28","876",1,28,28,"neutral","41M_N.png","Context004.jpg",56.8994,"7&",0.9139
"SON2_015_effective_beforeDrug.29","876",1,29,29,"neutral","06F_N.png","Context004.jpg",58.9495,"7&",1.4287
"SON2_015_effective_beforeDrug.30","876",1,30,30,"positive","43M_H.png","Context004.jpg",60.983,"7&",1.088
"SON2_015_effective_beforeDrug.31","876",1,31,31,"positive","02F_H.png","Context004.jpg",63.0332,"1!",0.8597
"SON2_015_effective_beforeDrug.32","876",1,32,32,"neutral","16F_N.png","Context004.jpg",65.0833,"1!",1.3534
"SON2_015_effective_beforeDrug.33","876",1,33,33,"positive","32M_H.png","Context004.jpg",67.1335,"1!",1.0002
"SON2_015_effective_beforeDrug.34","876",1,34,34,"positive","17F_H.png","Context004.jpg",69.1669,"7&",1.0496
"SON2_015_effective_beforeDrug.35","876",1,35,35,"positive","33M_H.png","Context004.jpg",71.2004,"7&",1.028
"SON2_015_effective_beforeDrug.36","876",1,36,36,"negative","21M_F.png","Context004.jpg",73.2505,"7&",1.2087
"SON2_015_effective_beforeDrug.37","876",1,37,37,"neutral","01F_N.png","Context004.jpg",75.284,"1!",0.7541
"SON2_015_effective_beforeDrug.38","876",1,38,38,"negative","08F_F.png","Context004.jpg",77.3341,"1!",1.4268
"SON2_015_effective_beforeDrug.39","876",1,39,39,"neutral","43M_N.png","Context004.jpg",79.3677,"",NA
"SON2_015_effective_beforeDrug.40","876",1,40,40,"negative","12F_F.png","Context004.jpg",81.4177,"7&",0.068
"SON2_015_effective_beforeDrug.41","876",1,41,41,"neutral","27M_N.png","Context004.jpg",83.4679,"7&",1.4076
"SON2_015_effective_beforeDrug.42","876",1,42,42,"neutral","14F_N.png","Context004.jpg",85.5181,"1!",0.9963
"SON2_015_effective_beforeDrug.43","876",1,43,43,"positive","30M_H.png","Context004.jpg",87.5682,"7&",0.9071
"SON2_015_effective_beforeDrug.44","876",1,44,44,"neutral","03F_N.png","Context004.jpg",89.6016,"1!",0.6454
"SON2_015_effective_beforeDrug.45","876",1,45,45,"neutral","23M_N.png","Context004.jpg",91.6518,"7&",0.7051
"SON2_015_effective_beforeDrug.46","876",1,46,46,"negative","40M_F.png","Context004.jpg",93.6852,"1!",0.6706
"SON2_015_effective_beforeDrug.47","876",1,47,47,"positive","25M_H.png","Context004.jpg",95.7187,"7&",0.5819
"SON2_015_effective_beforeDrug.48","876",1,48,48,"negative","13F_F.png","Context004.jpg",97.7689,"7&",0.7707
"SON2_015_effective_beforeDrug.49","876",1,49,49,"neutral","40M_N.png","Context004.jpg",99.819,"1!",1.7783
"SON2_015_effective_beforeDrug.50","876",1,50,50,"negative","09F_F.png","Context004.jpg",101.8525,"7&",1.1857
"SON2_015_effective_beforeDrug.51","876",1,51,51,"negative","16F_F.png","Context004.jpg",103.9026,"1!",1.1475
"SON2_015_effective_beforeDrug.52","876",1,52,52,"neutral","26M_N.png","Context004.jpg",105.9528,"1!",1.4241
"SON2_015_effective_beforeDrug.53","876",1,53,53,"neutral","07F_N.png","Context004.jpg",108.0029,"7&",1.3149
"SON2_015_effective_beforeDrug.54","876",1,54,54,"negative","35M_F.png","Context004.jpg",110.0531,"1!",0.9027
"SON2_015_effective_beforeDrug.55","876",1,55,55,"neutral","17F_N.png","Context004.jpg",112.1032,"7&",0.8684
"SON2_015_effective_beforeDrug.56","876",1,56,56,"neutral","38M_N.png","Context004.jpg",114.1533,"1!",1.2427
"SON2_015_effective_beforeDrug.57","876",1,57,57,"positive","18F_H.png","Context004.jpg",116.2035,"7&",0.8308
"SON2_015_effective_beforeDrug.58","876",1,58,58,"negative","39M_F.png","Context004.jpg",118.2536,"1!",0.7115
"SON2_015_effective_beforeDrug.59","876",1,59,59,"negative","27M_F.png","Context004.jpg",120.3038,"1!",1.0442
"SON2_015_effective_beforeDrug.60","876",1,60,60,"positive","26M_H.png","Context004.jpg",122.3372,"7&",1.2735
"SON2_015_effective_beforeDrug.61","876",1,61,61,"negative","10F_F.png","Context004.jpg",124.3874,"1!",0.9033
"SON2_015_effective_beforeDrug.62","876",1,62,62,"positive","28M_H.png","Context004.jpg",126.4208,"7&",0.9977
"SON2_015_effective_beforeDrug.63","876",1,63,63,"neutral","29M_N.png","Context004.jpg",128.471,"1!",0.6694
"SON2_015_effective_beforeDrug.64","876",1,64,64,"negative","19F_F.png","Context004.jpg",130.5045,"1!",0.8088
"SON2_015_effective_beforeDrug.65","876",1,65,65,"negative","18F_F.png","Context004.jpg",132.5546,"1!",0.7965
"SON2_015_effective_beforeDrug.66","876",1,66,66,"positive","12F_H.png","Context004.jpg",134.6048,"7&",0.9653
"SON2_015_effective_beforeDrug.67","876",1,67,67,"positive","14F_H.png","Context004.jpg",136.6549,"7&",0.927
"SON2_015_effective_beforeDrug.68","876",1,68,68,"neutral","42M_N.png","Context004.jpg",138.705,"1!",1.0366
"SON2_015_effective_beforeDrug.69","876",1,69,69,"neutral","34M_N.png","Context004.jpg",140.7385,"7&",1.152
"SON2_015_effective_beforeDrug.70","876",1,70,70,"negative","34M_F.png","Context004.jpg",142.7887,"7&",1.0238
"SON2_015_effective_beforeDrug.71","876",1,71,71,"positive","42M_H.png","Context004.jpg",144.8388,"1!",0.9585
"SON2_015_effective_beforeDrug.72","876",1,72,72,"negative","01F_F.png","Context004.jpg",146.8889,"1!",0.6953
"SON2_015_effective_beforeDrug.73","876",1,73,73,"negative","05F_F.png","Context004.jpg",148.9224,"7&",0.8926
"SON2_015_effective_beforeDrug.74","876",1,74,74,"negative","07F_F.png","Context004.jpg",150.9559,"1!",0.619
"SON2_015_effective_beforeDrug.75","876",1,75,75,"neutral","09F_N.png","Context004.jpg",153.0061,"7&",0.8647
"SON2_015_effective_beforeDrug.76","876",1,76,76,"negative","25M_F.png","Context004.jpg",155.0562,"1!",0.6635
"SON2_015_effective_beforeDrug.77","876",1,77,77,"positive","38M_H.png","Context004.jpg",157.0896,"7&",0.6459
"SON2_015_effective_beforeDrug.78","876",1,78,78,"neutral","30M_N.png","Context004.jpg",159.1398,"1!",0.5955
"SON2_015_effective_beforeDrug.79","876",1,79,79,"positive","15F_H.png","Context004.jpg",161.1899,"7&",0.5222
"SON2_015_effective_beforeDrug.80","876",1,80,80,"negative","42M_F.png","Context004.jpg",163.2234,"1!",0.8238
"SON2_015_effective_beforeDrug.81","876",1,81,81,"negative","02F_F.png","Context004.jpg",165.2569,"7&",0.5521
"SON2_015_effective_beforeDrug.82","876",1,82,82,"positive","36M_H.png","Context004.jpg",167.307,"1!",0.8038
"SON2_015_effective_beforeDrug.83","876",1,83,83,"neutral","19F_N.png","Context004.jpg",169.3572,"1!",0.9215
"SON2_015_effective_beforeDrug.84","876",1,84,84,"negative","11F_F.png","Context004.jpg",171.4073,"7&",0.7442
"SON2_015_effective_beforeDrug.85","876",1,85,85,"positive","35M_H.png","Context004.jpg",173.4575,"1!",0.9019
"SON2_015_effective_beforeDrug.86","876",1,86,86,"neutral","35M_N.png","Context004.jpg",175.4909,"1!",1.2593
"SON2_015_effective_beforeDrug.87","876",1,87,87,"neutral","12F_N.png","Context004.jpg",177.5243,"1!",1.3537
"SON2_015_effective_beforeDrug.88","876",1,88,88,"positive","39M_H.png","Context004.jpg",179.5579,"7&",0.9221
"SON2_015_effective_beforeDrug.89","876",1,89,89,"positive","40M_H.png","Context004.jpg",181.608,"7&",1.5008
"SON2_015_effective_beforeDrug.90","876",1,90,90,"negative","23M_F.png","Context004.jpg",183.6581,"7&",1.6054
"SON2_015_effective_beforeDrug.91","876",1,91,91,"positive","21M_H.png","Context004.jpg",185.7083,"7&",0.8042
"SON2_015_effective_beforeDrug.92","876",1,92,92,"positive","24M_H.png","Context004.jpg",187.7584,"7&",0.709
"SON2_015_effective_beforeDrug.93","876",1,93,93,"neutral","20M_N.png","Context004.jpg",189.7919,"1!",0.9963
"SON2_015_effective_beforeDrug.94","876",1,94,94,"negative","36M_F.png","Context004.jpg",191.842,"1!",1.205
"SON2_015_effective_beforeDrug.95","876",1,95,95,"positive","34M_H.png","Context004.jpg",193.8922,"1!",0.8068
"SON2_015_effective_beforeDrug.96","876",1,96,96,"neutral","21M_N.png","Context004.jpg",195.9257,"7&",1.9451
"SON2_015_effective_beforeDrug.97","876",1,97,97,"positive","10F_H.png","Context004.jpg",197.9591,"1!",0.8195
"SON2_015_effective_beforeDrug.98","876",1,98,98,"neutral","10F_N.png","Context004.jpg",200.0093,"1!",0.7513
"SON2_015_effective_beforeDrug.99","876",1,99,99,"positive","37M_H.png","Context004.jpg",202.0594,"7&",0.892
"SON2_015_effective_beforeDrug.100","876",1,100,100,"neutral","13F_N.png","Context004.jpg",204.0929,"1!",0.9204
"SON2_015_effective_beforeDrug.101","876",1,101,101,"positive","29M_H.png","Context004.jpg",206.1431,"1!",0.8872
"SON2_015_effective_beforeDrug.102","876",1,102,102,"positive","03F_H.png","Context004.jpg",208.1765,"1!",0.7605
"SON2_015_effective_beforeDrug.103","876",1,103,103,"positive","31M_H.png","Context004.jpg",210.2267,"7&",1.2741
"SON2_015_effective_beforeDrug.104","876",1,104,104,"neutral","32M_N.png","Context004.jpg",212.2768,"1!",0.6259
"SON2_015_effective_beforeDrug.105","876",1,105,105,"positive","27M_H.png","Context004.jpg",214.3603,"7&",0.8193
"SON2_015_effective_beforeDrug.106","876",1,106,106,"neutral","39M_N.png","Context004.jpg",216.3937,"1!",0.9097
"SON2_015_effective_beforeDrug.107","876",1,107,107,"neutral","15F_N.png","Context004.jpg",218.4272,"7&",0.9281
"SON2_015_effective_beforeDrug.108","876",1,108,108,"negative","24M_F.png","Context004.jpg",220.4773,"7&",1.0568
"SON2_015_effective_beforeDrug.109","876",1,109,109,"negative","28M_F.png","Context004.jpg",222.5108,"1!",0.7012
"SON2_015_effective_beforeDrug.110","876",1,110,110,"positive","06F_H.png","Context004.jpg",224.5443,"7&",0.6356
"SON2_015_effective_beforeDrug.111","876",1,111,111,"positive","13F_H.png","Context004.jpg",226.5944,"1!",0.3373
"SON2_015_effective_beforeDrug.112","876",1,112,112,"neutral","02F_N.png","Context004.jpg",228.6279,"7&",0.3347
"SON2_015_effective_beforeDrug.113","876",1,113,113,"positive","41M_H.png","Context004.jpg",230.6614,"1!",0.2541
"SON2_015_effective_beforeDrug.114","876",1,114,114,"negative","41M_F.png","Context004.jpg",232.6949,"1!",0.7244
"SON2_015_effective_beforeDrug.115","876",1,115,115,"positive","23M_H.png","Context004.jpg",234.745,"7&",0.7031
"SON2_015_effective_beforeDrug.116","876",1,116,116,"negative","43M_F.png","Context004.jpg",236.7951,"7&",0.7539
"SON2_015_effective_beforeDrug.117","876",1,117,117,"neutral","18F_N.png","Context004.jpg",238.8286,"7&",0.7163
"SON2_015_effective_beforeDrug.118","876",1,118,118,"negative","06F_F.png","Context004.jpg",240.8787,"7&",0.974
"SON2_015_effective_beforeDrug.119","876",1,119,119,"neutral","05F_N.png","Context004.jpg",242.9122,"1!",0.6744
"SON2_015_effective_beforeDrug.120","876",1,120,120,"neutral","25M_N.png","Context004.jpg",244.9624,"1!",0.7691
"SON2_015_effective_beforeDrug.121","876",1,121,121,"negative","32M_F.png","Context004.jpg",247.0125,"1!",0.7008
"SON2_015_effective_beforeDrug.122","876",1,122,122,"positive","19F_H.png","Context004.jpg",249.046,"1!",0.6372
"SON2_015_effective_beforeDrug.123","876",1,123,123,"neutral","36M_N.png","Context004.jpg",251.0961,"7&",0.8869
"SON2_015_effective_beforeDrug.124","876",1,124,124,"negative","20M_F.png","Context004.jpg",253.1463,"1!",0.6936
"SON2_015_effective_beforeDrug.125","876",1,125,125,"negative","14F_F.png","Context004.jpg",255.1964,"1!",0.9733
"SON2_015_effective_beforeDrug.126","876",1,126,126,"negative","03F_F.png","Context004.jpg",257.2466,"7&",1.204
"SON2_014.1","2014",1,1,1,"negative","26M_F.png","Context001.jpg",82.9094,"1!",0.5626
"SON2_014.2","2014",1,2,2,"neutral","24M_N.png","Context002.jpg",84.9546,"1!",0.1574
"SON2_014.3","2014",1,3,3,"positive","07F_H.png","Context003.jpg",86.9998,"1!",1.0002
"SON2_014.4","2014",1,4,4,"positive","11F_H.png","Context004.jpg",89.0449,"7&",0.603
"SON2_014.5","2014",1,5,5,"neutral","28M_N.png","Context001.jpg",91.0901,"7&",0.5178
"SON2_014.6","2014",1,6,6,"negative","22M_F.png","Context002.jpg",93.1353,"1!",0.5287
"SON2_014.7","2014",1,7,7,"neutral","11F_N.png","Context003.jpg",95.1805,"7&",0.5395
"SON2_014.8","2014",1,8,8,"positive","16F_H.png","Context004.jpg",97.2257,"1!",0.6143
"SON2_014.9","2014",1,9,9,"neutral","33M_N.png","Context004.jpg",99.2708,"1!",0.4811
"SON2_014.10","2014",1,10,10,"positive","09F_H.png","Context004.jpg",101.316,"7&",0.492
"SON2_014.11","2014",1,11,11,"negative","15F_F.png","Context004.jpg",103.3612,"1!",0.4948
"SON2_014.12","2014",1,12,12,"positive","05F_H.png","Context004.jpg",105.4064,"7&",0.4815
"SON2_014.13","2014",1,13,13,"negative","38M_F.png","Context004.jpg",107.4515,"1!",0.4684
"SON2_014.14","2014",1,14,14,"negative","30M_F.png","Context004.jpg",109.4967,"7&",0.6793
"SON2_014.15","2014",1,15,15,"negative","17F_F.png","Context004.jpg",111.5419,"7&",0.506
"SON2_014.16","2014",1,16,16,"positive","08F_H.png","Context004.jpg",113.5871,"7&",0.6129
"SON2_014.17","2014",1,17,17,"negative","29M_F.png","Context004.jpg",115.6323,"1!",0.4877
"SON2_014.18","2014",1,18,18,"neutral","08F_N.png","Context004.jpg",117.6774,"1!",0.3785
"SON2_014.19","2014",1,19,19,"negative","33M_F.png","Context004.jpg",119.7226,"1!",0.4613
"SON2_014.20","2014",1,20,20,"negative","31M_F.png","Context004.jpg",121.7678,"1!",0.4882
"SON2_014.21","2014",1,21,21,"negative","37M_F.png","Context004.jpg",123.813,"7&",0.555
"SON2_014.22","2014",1,22,22,"neutral","22M_N.png","Context004.jpg",125.8582,"1!",0.4458
"SON2_014.23","2014",1,23,23,"neutral","37M_N.png","Context004.jpg",127.9034,"7&",0.6086
"SON2_014.24","2014",1,24,24,"positive","20M_H.png","Context004.jpg",129.9485,"1!",0.4994
"SON2_014.25","2014",1,25,25,"neutral","31M_N.png","Context004.jpg",131.9937,"1!",0.4703
"SON2_014.26","2014",1,26,26,"positive","01F_H.png","Context004.jpg",134.0389,"1!",0.6171
"SON2_014.27","2014",1,27,27,"positive","22M_H.png","Context004.jpg",136.084,"1!",0.5079
"SON2_014.28","2014",1,28,28,"neutral","41M_N.png","Context004.jpg",138.1292,"1!",0.4788
"SON2_014.29","2014",1,29,29,"neutral","06F_N.png","Context004.jpg",140.1578,"1!",0.5302
"SON2_014.30","2014",1,30,30,"positive","43M_H.png","Context004.jpg",142.203,"7&",0.637
"SON2_014.31","2014",1,31,31,"positive","02F_H.png","Context004.jpg",144.2481,"7&",0.5758
"SON2_014.32","2014",1,32,32,"neutral","16F_N.png","Context004.jpg",146.2766,"7&",0.7073
"SON2_014.33","2014",1,33,33,"positive","32M_H.png","Context004.jpg",148.3219,"7&",0.6781
"SON2_014.34","2014",1,34,34,"positive","17F_H.png","Context004.jpg",150.367,"1!",0.4489
"SON2_014.35","2014",1,35,35,"positive","33M_H.png","Context004.jpg",152.4122,"1!",0.5317
"SON2_014.36","2014",1,36,36,"negative","21M_F.png","Context004.jpg",154.4574,"1!",0.5666
"SON2_014.37","2014",1,37,37,"neutral","01F_N.png","Context004.jpg",156.4859,"7&",0.642
"SON2_014.38","2014",1,38,38,"negative","08F_F.png","Context004.jpg",158.5312,"7&",1.8368
"SON2_014.39","2014",1,39,39,"neutral","43M_N.png","Context004.jpg",160.5763,"7&",1.0716
"SON2_014.40","2014",1,40,40,"negative","12F_F.png","Context004.jpg",162.6215,"7&",0.5864
"SON2_014.41","2014",1,41,41,"neutral","27M_N.png","Context004.jpg",164.6667,"1!",0.5653
"SON2_014.42","2014",1,42,42,"neutral","14F_N.png","Context004.jpg",166.7119,"7&",0.6401
"SON2_014.43","2014",1,43,43,"positive","30M_H.png","Context004.jpg",168.757,"1!",0.5389
"SON2_014.44","2014",1,44,44,"neutral","03F_N.png","Context004.jpg",170.8022,"1!",0.5737
"SON2_014.45","2014",1,45,45,"neutral","23M_N.png","Context004.jpg",172.8474,"1!",0.5046
"SON2_014.46","2014",1,46,46,"negative","40M_F.png","Context004.jpg",174.8925,"1!",0.6274
"SON2_014.47","2014",1,47,47,"positive","25M_H.png","Context004.jpg",176.9378,"1!",0.5742
"SON2_014.48","2014",1,48,48,"negative","13F_F.png","Context004.jpg",178.9829,"7&",0.7444
"SON2_014.49","2014",1,49,49,"neutral","40M_N.png","Context004.jpg",181.0281,"1!",0.5238
"SON2_014.50","2014",1,50,50,"negative","09F_F.png","Context004.jpg",183.0733,"7&",0.7347
"SON2_014.51","2014",1,51,51,"negative","16F_F.png","Context004.jpg",185.1185,"1!",0.5135
"SON2_014.52","2014",1,52,52,"neutral","26M_N.png","Context004.jpg",187.1637,"1!",0.5484
"SON2_014.53","2014",1,53,53,"neutral","07F_N.png","Context004.jpg",189.2088,"7&",0.4951
"SON2_014.54","2014",1,54,54,"negative","35M_F.png","Context004.jpg",191.254,"1!",0.5139
"SON2_014.55","2014",1,55,55,"neutral","17F_N.png","Context004.jpg",193.2992,"7&",0.4848
"SON2_014.56","2014",1,56,56,"neutral","38M_N.png","Context004.jpg",195.3276,"1!",0.9442
"SON2_014.57","2014",1,57,57,"positive","18F_H.png","Context004.jpg",197.3562,"7&",0.6436
"SON2_014.58","2014",1,58,58,"negative","39M_F.png","Context004.jpg",199.4015,"1!",0.5105
"SON2_014.59","2014",1,59,59,"negative","27M_F.png","Context004.jpg",201.4467,"1!",0.5933
"SON2_014.60","2014",1,60,60,"positive","26M_H.png","Context004.jpg",203.4918,"1!",0.5321
"SON2_014.61","2014",1,61,61,"negative","10F_F.png","Context004.jpg",205.537,"7&",0.3589
"SON2_014.62","2014",1,62,62,"positive","28M_H.png","Context004.jpg",207.5822,"1!",0.6258
"SON2_014.63","2014",1,63,63,"neutral","29M_N.png","Context004.jpg",209.6106,"1!",0.5252
"SON2_014.64","2014",1,64,64,"negative","19F_F.png","Context004.jpg",211.6559,"7&",0.416
"SON2_014.65","2014",1,65,65,"negative","18F_F.png","Context004.jpg",213.7011,"7&",0.4429
"SON2_014.66","2014",1,66,66,"positive","12F_H.png","Context004.jpg",215.7463,"7&",0.5177
"SON2_014.67","2014",1,67,67,"positive","14F_H.png","Context004.jpg",217.7915,"7&",0.6085
"SON2_014.68","2014",1,68,68,"neutral","42M_N.png","Context004.jpg",219.8366,"1!",0.4834
"SON2_014.69","2014",1,69,69,"neutral","34M_N.png","Context004.jpg",221.8818,"1!",0.5262
"SON2_014.70","2014",1,70,70,"negative","34M_F.png","Context004.jpg",223.927,"",NA
"SON2_014.71","2014",1,71,71,"positive","42M_H.png","Context004.jpg",225.9721,"1!",0.594
"SON2_014.72","2014",1,72,72,"negative","01F_F.png","Context004.jpg",228.0173,"7&",0.6848
"SON2_014.73","2014",1,73,73,"negative","05F_F.png","Context004.jpg",230.0625,"7&",0.6557
"SON2_014.74","2014",1,74,74,"negative","07F_F.png","Context004.jpg",232.1077,"1!",0.6425
"SON2_014.75","2014",1,75,75,"neutral","09F_N.png","Context004.jpg",234.1529,"7&",0.6773
"SON2_014.76","2014",1,76,76,"negative","25M_F.png","Context004.jpg",236.198,"1!",0.5361
"SON2_014.77","2014",1,77,77,"positive","38M_H.png","Context004.jpg",238.2433,"1!",0.5149
"SON2_014.78","2014",1,78,78,"neutral","30M_N.png","Context004.jpg",240.2885,"1!",0.6938
"SON2_014.79","2014",1,79,79,"positive","15F_H.png","Context004.jpg",242.3336,"7&",0.5766
